,condition,entropy
264,Full,1.3869047238056025
265,Truncated,2.414215676119622
266,Full,1.4546881010424615
267,Truncated,2.4730287444780097
268,Full,1.4363939532192407
269,Truncated,2.4093370713117097
270,Full,1.4482785919783239
271,Truncated,2.43033452596005
272,Full,1.3590269715775496
273,Truncated,2.448999495908248
274,Full,1.4241189980043383
275,Truncated,2.423229663199682
276,Full,1.418266317240714
277,Truncated,2.406453546278198
278,Full,1.4287630556043867
279,Truncated,2.4172969631487047
280,Full,1.4615334844059062
281,Truncated,2.400413075540887
282,Full,1.4295137854715936
283,Truncated,2.3650443947433244
284,Full,1.379680113666565
285,Truncated,2.3947221494369098
286,Full,1.3393853722141897
287,Truncated,2.4071766240799994
288,Full,1.376183847730893
289,Truncated,2.418396025245131
290,Full,1.4481561685988884
291,Truncated,2.404260121990127
292,Full,1.3915288911004482
293,Truncated,2.4312695188068263
294,Full,1.4852742567850932
295,Truncated,2.429005334768271
296,Full,1.4184980659297177
297,Truncated,2.4091528967859643
298,Full,1.4096841209526179
299,Truncated,2.4267615876479636
300,Full,1.36348198913625
301,Truncated,2.4271735044935183
302,Full,1.431773807801783
303,Truncated,2.4138577015191442
304,Full,1.4326024925576522
305,Truncated,2.408985222349873
306,Full,1.4209414930319773
307,Truncated,2.429487864705433
308,Full,1.4407224886058394
309,Truncated,2.4197003970821376
310,Full,1.3908545824146326
311,Truncated,2.423125753381547
312,Full,1.331108062988061
313,Truncated,2.4328520760909926
314,Full,1.40247548295007
315,Truncated,2.400263165961944
316,Full,1.360992166214094
317,Truncated,2.415676186843734
318,Full,1.3351694026383927
319,Truncated,2.442806265935876
320,Full,1.442512043411113
321,Truncated,2.4269329306630234
322,Full,1.4028658779538246
323,Truncated,2.4040599851064512
324,Full,1.3355473567870877
325,Truncated,2.4147134152170806
326,Full,1.4291645613249284
327,Truncated,2.4055977400524937
328,Full,1.4033490066574534
329,Truncated,2.4163003864965913
330,Full,1.3691691602258316
331,Truncated,2.4278310544981148
332,Full,1.4499771058128492
333,Truncated,2.4197507268756278
334,Full,1.4661349535306278
335,Truncated,2.3828866452663684
336,Full,1.5921961262334503
337,Truncated,2.4410740723848887
338,Full,1.4633726186435017
339,Truncated,2.435520622246676
340,Full,1.4510490836236865
341,Truncated,2.463992611969455
342,Full,1.5076976380306655
343,Truncated,2.410178288911209
344,Full,1.436840265900041
345,Truncated,2.40205415766153
346,Full,1.40890059797156
347,Truncated,2.4362786417820788
348,Full,1.3904587211449826
349,Truncated,2.4425729751099974
350,Full,1.4556787351372016
351,Truncated,2.3783543672432885
352,Full,1.361667991679378
353,Truncated,2.4303830675642195
354,Full,1.4308476153816527
355,Truncated,2.4070243609245763
356,Full,1.4435097500953256
357,Truncated,2.4446173815238343
358,Full,1.3998332333011236
359,Truncated,2.4308098987205597
360,Full,1.4384946994482946
361,Truncated,2.4154795968103473
362,Full,1.4741169390669568
363,Truncated,2.4350878507963793
364,Full,1.3491342418641765
365,Truncated,2.4120276052628284
366,Full,1.4410961564523705
367,Truncated,2.349753306230792
368,Full,1.4315796297639456
369,Truncated,2.3385885643315807
370,Full,1.47522030063543
371,Truncated,2.4078053511045465
372,Full,1.3352196492644466
373,Truncated,2.418451461463054
374,Full,1.3891705487880563
375,Truncated,2.442570316302769
376,Full,1.37973758829112
377,Truncated,2.459817877713765
378,Full,1.400269080870593
379,Truncated,2.406539305988077
380,Full,1.3326751885694674
381,Truncated,2.443953661246833
382,Full,1.447009546466035
383,Truncated,2.408737943633781
384,Full,1.418616249777934
385,Truncated,2.3907373587409917
386,Full,1.3797255467185132
387,Truncated,2.4768219096614024
388,Full,1.4847352806655467
389,Truncated,2.410109373656532
390,Full,1.4153414575122347
391,Truncated,2.4599478963332237
392,Full,1.5066678913602616
393,Truncated,2.4096185317220487
394,Full,1.4454765694471727
395,Truncated,2.399881299494866
396,Full,1.3121698198335747
397,Truncated,2.4267044078080833
398,Full,1.3989384415656916
399,Truncated,2.444548980345977
400,Full,1.482145125953966
401,Truncated,2.432969596196677
402,Full,1.323867430191148
403,Truncated,2.394563728999711
404,Full,1.4841342279826228
405,Truncated,2.4191207670994266
406,Full,1.4531067774592907
407,Truncated,2.4201191103345727
408,Full,1.4176950672604947
409,Truncated,2.424749181494133
410,Full,1.4412774638863464
411,Truncated,2.434457475057328
412,Full,1.4243859943776713
413,Truncated,2.412429095516115
414,Full,1.3125835375335209
415,Truncated,2.4092457705230856
416,Full,1.3747655514935448
417,Truncated,2.412851525324373
418,Full,1.3427340467523925
419,Truncated,2.411724168498302
420,Full,1.4534079373024222
421,Truncated,2.4434745013367305
422,Full,1.3905906307164888
423,Truncated,2.429944231395234
424,Full,1.4142400421028882
425,Truncated,2.423689679380396
426,Full,1.3169365978629333
427,Truncated,2.4094835770385603
428,Full,1.4172799369443212
429,Truncated,2.4409678361541736
430,Full,1.4486966598537603
431,Truncated,2.4339142746985822
432,Full,1.4539047340870945
433,Truncated,2.4034265978642884
434,Full,1.4487908800842153
435,Truncated,2.4330714517218186
436,Full,1.362901559836256
437,Truncated,2.45310216293577
438,Full,1.3730505429212432
439,Truncated,2.4239201883727537
440,Full,1.4186245076304358
441,Truncated,2.424262175840644
442,Full,1.4376623305324325
443,Truncated,2.4270970204883464
444,Full,1.3376279329836787
445,Truncated,2.444899857202617
446,Full,1.3578706147595447
447,Truncated,2.4240361511583957
448,Full,1.3619488877191093
449,Truncated,2.43822239934262
450,Full,1.3651405152146416
451,Truncated,2.4227223478636093
452,Full,1.3909352904477674
453,Truncated,2.427495028439186
454,Full,1.4170918939245039
455,Truncated,2.4275394713932097
456,Full,1.5041649067752023
457,Truncated,2.4529507631395915
458,Full,1.4321069887202271
459,Truncated,2.444884365290669
460,Full,1.398405422356562
461,Truncated,2.4415520296907336
462,Full,1.4280022124157243
463,Truncated,2.4016842279536714
464,Full,1.4170769197379758
465,Truncated,2.4423848094006404
466,Full,1.461646865902858
467,Truncated,2.4268057459985077
468,Full,1.4157618185254741
469,Truncated,2.422708327206005
470,Full,1.5179394997743318
471,Truncated,2.4134580745335654
472,Full,1.4268144783453907
473,Truncated,2.3941534142275502
474,Full,1.4727263351155013
475,Truncated,2.4462089707517967
476,Full,1.286387454645682
477,Truncated,2.370621613846256
478,Full,1.4712886175128745
479,Truncated,2.4158993788672847
480,Full,1.376699061739576
481,Truncated,2.4254669461403733
482,Full,1.3919194271547795
483,Truncated,2.455130058962125
484,Full,1.3543897096868276
485,Truncated,2.4351987394786376
486,Full,1.3331228438752025
487,Truncated,2.4056148318955786
488,Full,1.4359074748660299
489,Truncated,2.438915389168193
490,Full,1.4986267206326398
491,Truncated,2.4187742697724812
492,Full,1.404097633431912
493,Truncated,2.3864112351042674
494,Full,1.4573013997724171
495,Truncated,2.445240741082701
496,Full,1.4493490370841453
497,Truncated,2.4146410083049523
498,Full,1.482764733377153
499,Truncated,2.424577624747718
500,Full,1.427964861464123
501,Truncated,2.3987870019259163
502,Full,1.345381185876896
503,Truncated,2.4443453561050825
504,Full,1.4142816043463349
505,Truncated,2.4232871435205734
506,Full,1.4976753783725616
507,Truncated,2.4008984468240238
508,Full,1.4845824838460007
509,Truncated,2.4202687897171016
510,Full,1.3748302942347315
511,Truncated,2.4259088815948453
512,Full,1.450350730377075
513,Truncated,2.4325227049831826
514,Full,1.4913788127252046
515,Truncated,2.4198299320035033
516,Full,1.4236249910247618
517,Truncated,2.4055295135963912
518,Full,1.3928061701532404
519,Truncated,2.4104977715935156
520,Full,1.4544223344340061
521,Truncated,2.419034739770864
522,Full,1.5033289987853558
523,Truncated,2.408099175439111
524,Full,1.5079962920366818
525,Truncated,2.4166695749406037
526,Full,1.3545843023900388
527,Truncated,2.4290098948271472
528,Full,1.4003217385254871
529,Truncated,2.4254318213084725
530,Full,1.422064609805495
531,Truncated,2.409403056336041
532,Full,1.4366122192859543
533,Truncated,2.4476146339554896
534,Full,1.4021373984555603
535,Truncated,2.438219352279256
536,Full,1.3892515675511616
537,Truncated,2.4170717002209683
538,Full,1.3304490858979452
539,Truncated,2.421789053480273
540,Full,1.3694683998875268
541,Truncated,2.4250078792208165
542,Full,1.3725363455167734
543,Truncated,2.3868556469280358
544,Full,1.379613002635137
545,Truncated,2.406453770460165
546,Full,1.4562987811629584
547,Truncated,2.4338364815411766
548,Full,1.4723005322763814
549,Truncated,2.4624366096945542
550,Full,1.3919964318097313
551,Truncated,2.4216764534617328
552,Full,1.4719961886276516
553,Truncated,2.4444323599705267
554,Full,1.4142852172026597
555,Truncated,2.4487792839158207
556,Full,1.3242618968663575
557,Truncated,2.385157129796691
558,Full,1.4450197422487956
559,Truncated,2.4163882188700248
560,Full,1.404471641908221
561,Truncated,2.4387122891780377
562,Full,1.389513162585441
563,Truncated,2.416258671363054
564,Full,1.5021134756917114
565,Truncated,2.381763138165984
566,Full,1.3525211848246523
567,Truncated,2.40643118942011
568,Full,1.3447318425405153
569,Truncated,2.4151033807693496
570,Full,1.4468970082299353
571,Truncated,2.4079220333679645
572,Full,1.414356771958044
573,Truncated,2.4068045464417573
574,Full,1.4449079132474414
575,Truncated,2.4091819489440596
576,Full,1.4511495308458264
577,Truncated,2.43330990631035
578,Full,1.4328262540370353
579,Truncated,2.4089362480469303
580,Full,1.3464095029983618
581,Truncated,2.4358995137159565
582,Full,1.441247192421797
583,Truncated,2.4755894283744038
584,Full,1.4020780863528386
585,Truncated,2.451592107467178
586,Full,1.334649172986857
587,Truncated,2.4142089109656237
588,Full,1.4074413804151529
589,Truncated,2.428210115421108
590,Full,1.425853709935895
591,Truncated,2.417285341857491
592,Full,1.4286634302849608
593,Truncated,2.4470347319135763
594,Full,1.4603082730643622
595,Truncated,2.470657331623843
596,Full,1.476892015185323
597,Truncated,2.433038229568697
598,Full,1.4405432853872746
599,Truncated,2.4113739194508823
600,Full,1.497918295495682
601,Truncated,2.402340848717893
602,Full,1.4288788631126073
603,Truncated,2.415252230692032
604,Full,1.3377752600032795
605,Truncated,2.4472939033490015
606,Full,1.4212676824316208
607,Truncated,2.4594273710316275
608,Full,1.4345450031863405
609,Truncated,2.4322105079263223
610,Full,1.3244258232968171
611,Truncated,2.398079329168687
612,Full,1.3890083526955737
613,Truncated,2.4328641047170567
614,Full,1.4220191717061856
615,Truncated,2.4483010124553886
616,Full,1.4466361774823913
617,Truncated,2.4344189854097777
618,Full,1.434449373785289
619,Truncated,2.4251692457866243
620,Full,1.422701556131572
621,Truncated,2.4539632631284998
622,Full,1.3773578082669573
623,Truncated,2.404796642469274
624,Full,1.4107083106563696
625,Truncated,2.3618362286321455
626,Full,1.4943608677001605
627,Truncated,2.423304751709439
628,Full,1.3867045025240805
629,Truncated,2.420995295890215
630,Full,1.4019871226758474
631,Truncated,2.409806602431404
632,Full,1.3753757601053391
633,Truncated,2.347813161768086
634,Full,1.3720790913947858
635,Truncated,2.422004013945865
636,Full,1.3858247434044597
637,Truncated,2.4264693471358667
638,Full,1.4530663124727146
639,Truncated,2.421772413256362
640,Full,1.541966273125969
641,Truncated,2.3856946053256887
642,Full,1.4257849548113846
643,Truncated,2.4258256361280175
644,Full,1.3920688618394959
645,Truncated,2.4235368595589954
646,Full,1.4664214378226859
647,Truncated,2.47008913907813
648,Full,1.4552808902340202
649,Truncated,2.4096207294972682
650,Full,1.4004494732642674
651,Truncated,2.429457556783354
652,Full,1.4985787117104787
653,Truncated,2.3916656364419047
654,Full,1.4339733169004287
655,Truncated,2.421303511185033
656,Full,1.425490663892333
657,Truncated,2.40606595264177
658,Full,1.387880853009171
659,Truncated,2.4148954328447374
660,Full,1.4845517391328447
661,Truncated,2.4323226046580912
662,Full,1.426506257226619
663,Truncated,2.460134446778299
664,Full,1.4851922118160936
665,Truncated,2.4073554713050713
666,Full,1.3611694089863027
667,Truncated,2.4175042002319524
668,Full,1.435238081980084
669,Truncated,2.396319743926826
670,Full,1.400958586489389
671,Truncated,2.4624621787811938
672,Full,1.4178618863606784
673,Truncated,2.3686260828426073
674,Full,1.381492642366918
675,Truncated,2.4284674575114
676,Full,1.4354699201513217
677,Truncated,2.4241796370351145
678,Full,1.3725588378944635
679,Truncated,2.4586711199210685
680,Full,1.4073666469824793
681,Truncated,2.4027767486127707
682,Full,1.3434403673038722
683,Truncated,2.3943311897369477
684,Full,1.3370648486816048
685,Truncated,2.416475830713564
686,Full,1.4052863481335869
687,Truncated,2.4485940291905495
688,Full,1.4395763505221288
689,Truncated,2.3950112201394838
690,Full,1.2885818493047956
691,Truncated,2.420572126693047
692,Full,1.3786743019647911
693,Truncated,2.413886244745594
694,Full,1.447094314435273
695,Truncated,2.398050454064155
696,Full,1.4431486600082042
697,Truncated,2.4085631805066527
698,Full,1.4157444373611785
699,Truncated,2.4544331568810005
700,Full,1.3822577444851945
701,Truncated,2.407732326492352
702,Full,1.427468095777349
703,Truncated,2.424481793418604
704,Full,1.3998460860057285
705,Truncated,2.4101515340295623
706,Full,1.4330332778564696
707,Truncated,2.442589817165474
708,Full,1.397933738012128
709,Truncated,2.467732585600185
710,Full,1.3774671879913827
711,Truncated,2.439842076445648
712,Full,1.366657248571811
713,Truncated,2.4051422515058336
714,Full,1.4749235934803904
715,Truncated,2.442597225541491
716,Full,1.3823682323973012
717,Truncated,2.4200964595530996
718,Full,1.31814254753932
719,Truncated,2.412228270134195
720,Full,1.400171101877198
721,Truncated,2.4603006617915897
722,Full,1.3621001166354738
723,Truncated,2.4370764795749467
724,Full,1.4622598439756205
725,Truncated,2.4086059101462522
726,Full,1.4412038588153666
727,Truncated,2.445889088356577
728,Full,1.3696739901257704
729,Truncated,2.461953883752082
730,Full,1.451193072773835
731,Truncated,2.4456052527846537
732,Full,1.4849483638253127
733,Truncated,2.4419716598496763
734,Full,1.4755169450271348
735,Truncated,2.3926597796462574
