,heuristic,board,correlation,sample_number
332,linear,10_hard_full,0.531683488,6
333,linear,10_hard_pruned,0.506804013,6
334,linear,10_medium_full,0.275348851,6
335,linear,10_medium_pruned,0.544569306,6
336,linear,6_easy_full,0.529317423,6
337,linear,6_easy_pruned,0.52904809,6
338,linear,6_hard_full,0.366097797,6
339,linear,6_hard_pruned,0.590755905,6
340,non-linear,10_easy_full,0.423457868,6
341,non-linear,10_easy_pruned,0.54852275,6
342,non-linear,10_hard_full,0.476662945,6
343,non-linear,10_hard_pruned,0.53087141,6
344,non-linear,10_medium_full,0.389636836,6
345,non-linear,10_medium_pruned,0.553618209,6
346,non-linear,6_easy_full,0.802505657,6
347,non-linear,6_easy_pruned,0.581007202,6
348,non-linear,6_hard_full,0.588259637,6
349,non-linear,6_hard_pruned,0.7133176,6
350,blocking,10_easy_full,0.581393501,7
351,blocking,10_easy_pruned,0.544252552,7
352,blocking,10_hard_full,0.669604872,7
353,blocking,10_hard_pruned,0.588977545,7
354,blocking,10_medium_full,0.305948379,7
355,blocking,10_medium_pruned,0.496592473,7
356,blocking,6_easy_full,0.887020608,7
357,blocking,6_easy_pruned,0.612761749,7
358,blocking,6_hard_full,0.70189573,7
359,blocking,6_hard_pruned,0.665843622,7
360,density,10_easy_full,0.154503362,7
361,density,10_easy_pruned,0.311274693,7
362,density,10_hard_full,0.283041,7
363,density,10_hard_pruned,0.280217214,7
364,density,10_medium_full,0.286629309,7
365,density,10_medium_pruned,0.023284393,7
366,density,6_easy_full,0.488911966,7
367,density,6_easy_pruned,0.397721863,7
368,density,6_hard_full,0.261987169,7
369,density,6_hard_pruned,0.247843061,7
370,interaction,10_easy_full,0.471073003,7
371,interaction,10_easy_pruned,0.652105757,7
372,interaction,10_hard_full,0.45357169,7
373,interaction,10_hard_pruned,0.5400075,7
374,interaction,10_medium_full,0.422474756,7
375,interaction,10_medium_pruned,0.444786593,7
376,interaction,6_easy_full,0.815156241,7
377,interaction,6_easy_pruned,0.569908408,7
378,interaction,6_hard_full,0.472596144,7
379,interaction,6_hard_pruned,0.493655013,7
380,linear,10_easy_full,0.306465304,7
381,linear,10_easy_pruned,0.329138602,7
382,linear,10_hard_full,0.487396063,7
383,linear,10_hard_pruned,0.302555952,7
384,linear,10_medium_full,0.42735519,7
385,linear,10_medium_pruned,0.334192636,7
386,linear,6_easy_full,0.652032598,7
387,linear,6_easy_pruned,0.508702633,7
388,linear,6_hard_full,0.469718732,7
